,ed_arrivals,wait_time_minutes,door_to_doctor_min,ed_los_minutes,admitted_from_ed,left_ama,imaging_ordered,labs_ordered,day_of_week,week_of_year,month,quarter,year,is_weekend,dow_sin,dow_cos,arrivals_lag_1,arrivals_lag_2,arrivals_lag_3,arrivals_lag_7,arrivals_lag_14,arrivals_lag_28,rolling_mean_7,rolling_std_7,rolling_mean_28,rolling_std_28,admission_rate,throughput_pressure,severity_index,avg_wait_time,avg_los,crowding_index,boarding_proxy,Emergent,Less_Urgent,Non-Urgent,Resuscitation,Urgent,Abdominal_pain,Altered_mental_status,Back_pain,Chest_pain,Drug_overdose,Fever,Headache,Hypertensive_urgency,Hypoglycemia,Laceration,Leg_swelling,Nausea_and_vomiting,Palpitations,Seizure,Shortness_of_breath,Stroke_symptoms,Syncope_/_fall,Trauma,Urinary_symptoms,Weakness,MHN_Boston_General,MHN_Cambridge,MHN_Dorchester,MHN_Fenway,MHN_Jamaica_Plain,MHN_Quincy,MHN_Roxbury_Community,MHN_South_Shore,trend_7,trend_28
2020-02-26,3,17.0,17.0,263.3333333333333,0,0,3,1,2,9,2,1,2020,0,0.9749279121818236,-0.22252093395631434,5.0,5.0,3.0,7.0,1.0,2.0,3.0,1.5275252316519465,3.5,1.8155705153742432,0.0,34.0,9,17.0,263.3333333333333,0.0,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,2,-4.0,1.0
2020-02-27,4,51.5,52.5,258.75,0,0,2,1,3,9,2,1,2020,0,0.43388373911755823,-0.900968867902419,3.0,5.0,5.0,1.0,4.0,4.0,3.4285714285714284,1.2724180205607039,3.5,1.8155705153742432,0.0,104.0,13,51.5,258.75,0.0,0.0,1,0,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,0,1,3.0,0.0
2020-02-28,1,10.0,10.0,307.0,1,0,0,0,4,9,2,1,2020,0,-0.433883739117558,-0.9009688679024191,4.0,3.0,5.0,2.0,6.0,6.0,3.2857142857142856,1.4960264830861913,3.3214285714285716,1.8064405645432988,1.0,20.0,3,10.0,307.0,10.0,307.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,-1.0,-5.0
2020-02-29,6,83.5,84.16666666666667,266.5,1,0,2,0,5,9,2,1,2020,1,-0.9749279121818236,-0.2225209339563146,1.0,4.0,3.0,2.0,4.0,2.0,3.857142857142857,1.6761634196950523,3.4642857142857144,1.855565060331136,0.16666666666666666,167.66666666666669,19,83.5,266.5,13.916666666666666,44.416666666666664,0,1,0,1,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,2,0,0,1,0,4.0,4.0
2020-03-01,1,43.0,43.0,295.0,1,0,1,0,6,9,3,1,2020,1,-0.7818314824680299,0.6234898018587334,6.0,1.0,4.0,3.0,7.0,3.0,3.5714285714285716,1.9880595947760102,3.392857142857143,1.9117431586805544,1.0,86.0,3,43.0,295.0,43.0,295.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,-2.0,-2.0
2020-03-02,1,144.0,144.0,396.0,1,0,1,0,0,10,3,1,2020,0,0.0,1.0,1.0,6.0,1.0,5.0,3.0,3.0,3.0,2.0816659994661326,3.3214285714285716,1.9636242272441295,1.0,288.0,4,144.0,396.0,144.0,396.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,-4.0,-2.0
2020-03-03,8,58.375,58.375,325.375,1,1,3,1,1,10,3,1,2020,0,0.7818314824680298,0.6234898018587336,1.0,1.0,6.0,5.0,7.0,3.0,3.4285714285714284,2.760262237369417,3.5,2.151657414559676,0.125,116.75,31,58.375,325.375,7.296875,40.671875,5,0,0,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2,0,2,0,0,2,1,3.0,5.0
2020-03-04,2,30.0,30.0,230.5,0,0,0,1,2,10,3,1,2020,0,0.9749279121818236,-0.22252093395631434,8.0,1.0,1.0,3.0,7.0,3.0,3.2857142857142856,2.811540841738193,3.4642857142857144,2.168497395059757,0.0,60.0,6,30.0,230.5,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,-1.0,-1.0
2020-03-05,4,96.0,96.0,356.0,0,0,2,1,3,10,3,1,2020,0,0.43388373911755823,-0.900968867902419,2.0,8.0,1.0,4.0,1.0,3.0,3.2857142857142856,2.811540841738193,3.5,2.1688023662159037,0.0,192.0,12,96.0,356.0,0.0,0.0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,2,0,0.0,1.0
2020-03-06,5,149.4,150.2,392.4,1,1,3,2,4,10,3,1,2020,0,-0.433883739117558,-0.9009688679024191,4.0,2.0,8.0,1.0,2.0,2.0,3.857142857142857,2.672612419124244,3.607142857142857,2.1660560800216926,0.2,299.6,16,149.4,392.4,29.880000000000003,78.48,1,0,0,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,2,4.0,3.0
